0_, P01, 齿轮传动设计数据查询, -
P01, P02, 转矩与功率及传动比, helps\G01.mht
P01, P03, 圆柱齿轮传动简化设计计算公式, helps\G02.mht
P01, P04, 齿轮疲劳强度校核公式,helps\G03.mht
P04, P0401, 分度圆上的圆周力Ft, helps\G0401.mht
P04, P0402, 使用系数KA, helps\G0402.mht
P04, P0403, 动载系数KV, helps\G0403.mht
P04, P0404, 齿向载荷分布系数KHβ、KFβ, helps\G0404.mht
P04, P0405, 齿间载荷分配系数KHα、KFα, helps\G0405.mht
P04, P0406, 节点区域系数ZH, helps\G0406.mht
P04, P0407, 材料弹性系数ZE, helps\G0407.mht
P04, P0408, 接触强度计算的重合度与螺旋角系数, helps\G0408.mht
P04, P0409, 试验齿轮的接触疲劳极限应力, helps\G0409.mht
P04, P0410, 接触计算的寿命系数ZNT, helps\G0410.mht
P04, P0411, 润滑油膜影响系数ZLVR, helps\G0411.mht
P04, P0412, 工作硬化系数ZW, helps\G0412.mht
P04, P0413, 接触强度计算的尺寸系数ZX, helps\G0413.mht
P04, P0414, 最小安全系数SHlim、SFlim, helps\G0414.mht
P04, P0415, 复合齿形系数YFS, helps\G0415.mht
P04, P0416, 抗弯强度计算的重合度与螺旋角系数, helps\G0416.mht
P04, P0417, 齿轮材料的弯曲疲劳强度基本值, helps\G0417.mht
P04, P0418, 抗弯强度计算的寿命系数YNT, helps\G0418.mht
P04, P0419, 相对齿根圆角敏感系数, helps\G0419.mht
P04, P0420, 相对齿根表面状况系数, helps\G0420.mht
P04, P0421, 抗弯强度计算的尺寸系数YX, helps\G0421.mht
P01, P05, 几何尺寸计算公式, helps\G05.mht
P01, P06, 圆柱齿轮相关偏差、公差计算公式, helps\G06.mht
P01, P07, 齿厚极限偏差, helps\G07.mht
P01, P08, 中心距极限偏差值, helps\G08.mht
