ID|BCode|d|DD|B|Cr|Cor|nlimz|nlimy
1|7000C|10|26|8|4.92|2.25|19000|28000
2|7000AC|10|26|8|4.75|2.12|19000|28000
3|7200C|10|30|9|5.82|2.95|18000|26000
4|7200AC|10|30|9|5.58|2.82|18000|26000
5|700lC|12|28|8|5.42|2.65|18000|26000
6|700lAC|12|28|8|5.20|2.55|18000|26000
7|7201C|12|32|10|7.35|3.52|17000|24000
8|7201AC|12|32|10|7.10|3.35|17000|24000
9|7002C|15|32|9|6.25|3.42|17000|24000
10|7002AC|15|32|9|5.95|3.25|17000|24000
11|7202C|15|35|11|8.68|4.62|16000|22000
12|7202AC|15|35|11|8.35|4.40|16000|22000
13|7003C|17|35|10|6.60|3.85|16000|22000
14|7003AC|17|35|10|6.30|3.68|16000|22000
15|7203C|17|40|12|10.8|5.95|15000|20000
16|7203AC|17|40|12|10.5|5.65|15000|20000
17|7004C|20|42|12|10.5|6.08|14000|19000
18|7004AC|20|42|12|10.0|5.78|14000|19000
19|7204C|20|47|14|14.5|8.22|13000|18000
20|7204AC|20|47|14|14.0|7.82|13000|18000
21|7204B|20|47|14|14.0|7.85|13000|18000
22|7005C|25|47|12|11.5|7.45|12000|17000
23|7005AC|25|47|12|11.2|7.08|12000|17000
24|7205C|25|52|15|16.5|10.5|11000|16000
25|7205AC|25|52|15|15.8|9.88|11000|16000
26|7205B|25|52|15|15.8|9.45|9500|14000
27|7305B|25|62|17|26.2|15.2|8500|12000
28|7006C|30|55|13|15.2|10.2|9500|14000
29|7006AC|30|55|13|14.5|9.85|9500|14000
30|7206C|30|62|16|23.0|15.0|9000|13000
31|7206AC|30|62|16|22.0|14.2|9000|13000
32|7206B|30|62|16|20.5|13.8|8500|12000
33|7306B|30|72|19|31.0|19.2|7500|10000
34|7007C|35|62|14|19.5|14.2|8500|12000
35|7007AC|35|62|14|18.5|13.5|8500|12000
36|7207C|35|72|17|30.5|20.0|8000|11000
37|7207AC|35|72|17|29.0|19.2|8000|11000
38|7207B|35|72|17|27.0|18.8|7500|10000
39|7307B|35|80|21|38.2|24.5|7000|9500
40|7008C|40|68|15|20|15.2|8000|11000
41|7008AC|40|68|15|19.0|14.5|8000|11000
42|7208C|40|80|18|36.8|25.8|7500|10000
43|7208AC|40|80|18|35.2|24.5|7500|10000
44|7208B|40|80|18|32.5|23.5|6700|9000
45|7308B|40|90|23|46.2|30.5|6300|8500
46|7408B|40|110|27|67.0|47.5|6000|8000
47|7009C|45|75|16|25.8|20.5|7500|10000
48|7009AC|45|75|16|25.8|19.5|7500|10000
49|7209C|45|85|19|38.5|28.5|6700|9000
50|7209AC|45|85|19|36.8|27.2|6700|9000
51|7209B|45|85|19|36.0|26.2|6300|8500
52|7309B|45|100|25|59.5|39.8|6000|8000
53|7010C|50|80|16|26.5|22.0|6700|9000
54|7010AC|50|80|16|25.2|21.0|6700|9000
55|7210C|50|90|20|42.8|32.0|6300|8500
56|7210AC|50|90|20|40.8|30.5|6300|8500
57|7210B|50|90|20|37.5|29.0|5600|7500
58|7310B|50|110|27|68.2|48.0|5000|6700
59|7410B|50|130|31|95.2|64.2|5000|6700
60|7001C|55|90|18|37.2|30.5|6000|8000
