ID|BCode|圆锥孔10000K|d|DD|B|Cr|Cor|nlimz|nlimy
1|1200|1200K|10|30|9|5.48|1.20|24000|28000
2|1200TN1|1200KTN1|10|30|9|5.40|1.20|24000|28000
3|2200|2200K|10|30|14|7.12|1.58|24000|28000
4|2200TN1|2200KTN1|10|30|14|8.00|1.70|24000|28000
5|1300|1300K|10|35|11|7.22|1.62|20000|24000
6|1300TN1|1300KTN1|10|35|11|7.22|1.62|20000|24000
7|2300|2300K|10|35|11|11.0|2.45|18000|22000
8|2300TN1|2300KTN1|10|35|11|10.8|2.40|18000|22000
9|1201|1201K|12|32|10|5.55|1.25|22000|26000
10|1201TN1|1201KTN1|12|32|10|6.20|1.40|22000|26000
11|2201|2201K|12|32|14|8.80|1.80|22000|26000
12|2201TN1|2201KTN1|12|32|14|8.50|1.90|22000|26000
13|1301|1301K|12|37|12|9.42|2.12|18000|22000
14|1301TN1|1301KTN1|12|37|12|9.40|2.10|18000|22000
15|2301|2301K|12|37|17|12.5|2.72|17000|22000
16|2301TN1|2301KTN1|12|37|17|11.5|2.60|17000|22000
17|1202|1202K|15|35|11|7.48|1.75|18000|22000
18|1202TN1|1202KTN1|15|35|11|7.40|1.70|18000|22000
19|2202|2202K|15|35|14|7.65|1.80|18000|22000
20|2202TN1|2202KTN1|15|35|14|9.20|2.10|18000|22000
21|1302|1302K|15|42|13|9.50|2.28|16000|20000
22|1302TN1|1302KTN1|15|42|13|10.8|2.60|16000|20000
23|2302|2302K|15|42|17|12.0|2.88|14000|18000
24|2302TN1|2302KTN1|15|42|17|11.8|2.90|14000|18000
