ID|BCode|d|DD|T|Ca|Coa|nlimz|nlimy
1|51100|10|24|9|10.0|14.0|6300|9000
2|51200|10|26|11|12.5|17.0|6000|8000
3|51101|12|26|9|10.2|15.2|6000|8500
4|51201|12|28|11|13.2|19.0|5300|7500
5|51102|15|28|9|10.5|16.8|5600|8000
6|51202|15|32|12|16.5|24.8|4800|6700
7|51103|17|30|9|10.8|18.2|5300|7500
8|51203|17|35|12|17.0|27.2|4500|6300
9|51104|20|35|10|14.2|24.5|4800|6700
10|51204|20|40|14|22.2|37.5|3800|5300
11|51304|20|47|18|35.0|55.8|3600|4500
12|51105|25|42|11|15.2|30.2|4300|6000
13|51205|25|47|15|27.8|50.5|3400|4800
14|51305|25|52|18|35.5|61.5|3000|4300
15|51405|25|60|24|55.5|89.2|2200|3400
16|51106|30|47|11|16.0|34.2|4000|5600
17|51206|30|52|16|28.0|54.2|3200|4500
18|51306|30|60|21|42.8|78.5|2400|3600
19|51406|30|70|28|72.5|125|1900|3000
20|51107|35|52|12|18.2|41.5|3800|5300
21|51207|35|62|18|39.2|78.2|2800|4000
22|51307|35|68|24|55.2|105|2000|3200
23|51407|35|80|32|86.8|155|1700|2600
24|51108|40|60|13|26.8|62.8|3400|4800
25|51208|40|68|19|47.0|98.2|2400|3600
26|51308|40|78|26|69.2|135|1900|3000
27|51408|40|90|36|112|205|1500|2200
28|51109|45|65|14|27.0|66.0|3200|4500
29|51209|45|73|20|47.8|105|2200|3400
30|51309|45|85|28|75.8|150|1700|2600
31|51409|45|100|39|140|262|1400|2000
32|51110|50|70|14|27.2|69.2|3000|4300
33|51210|50|78|22|48.5|112|2000|3200
34|51310|50|95|31|96.5|202|1600|2400
35|51410|50|110|43|160|302|1300|1900
36|51111|55|78|16|33.8|89.2|2800|4000
37|51211|55|90|25|67.5|158|1900|3000
38|51311|55|105|35|115|242|1500|2200
39|51411|55|120|48|182|355|1100|1700
40|51112|60|85|17|40.2|108|2600|3800
41|51212|60|95|26|73.5|178|1800|2800
42|51312|60|110|35|118|262|1400|2000
43|51412|60|130|51|200|395|1000|1600
44|51113|65|90|18|40.5|112|2400|3600
45|51213|65|100|27|74.8|188|1700|2600
46|51313|65|115|36|115|262|1300|1900
47|51413|65|140|56|215|448|900|1400
48|51114|70|95|18|40.8|115|2200|3400
49|51214|70|105|27|73.5|188|1600|2400
50|51314|70|125|40|148|340|1200|1800
51|51414|70|150|60|255|560|850|1300
52|51115|75|100|19|48.2|140|2000|3200
53|51215|75|110|27|74.8|198|1500|2200
54|51315|75|135|44|162|380|1100|1700
55|51415|75|160|65|268|615|800|1200
56|51116|80|105|19|48.5|145|1900|3000
57|51216|80|115|28|83.8|222|1400|2000
58|51316|80|140|44|160|380|1000|1600
59|51416|80|170|68|292|692|750|1100
60|51117|85|110|19|49.2|150|1800|2800
61|51217|85|125|31|102|280|1300|1900
62|51317|85|150|49|208|495|950|1500
63|51417|85|180|72|318|782|700|1000
64|51118|90|120|22|65.0|200|1700|2600
65|51218|90|135|35|115|315|1200|1800
66|51318|90|155|50|205|495|900|1400
67|51418|90|190|77|325|825|670|950
68|51120|100|135|25|85.0|268|1600|2400
69|51220|100|150|38|132|375|1100|1700
70|51320|100|170|55|235|595|800|1200
71|51420|100|210|85|400|1080|600|850
72|51122|110|145|25|87.0|288|1500|2200
73|51222|110|160|38|138|412|1000|1600
74|51322|110|190|63|278|755|700|1100
75|51422|110|230|95|490|1390|530|750
76|51124|120|155|25|87.0|298|1400|2000
77|51224|120|170|39|135|412|950|1500
78|51324|120|210|70|330|945|670|950
79|51424|120|250|102|412|1220|480|670
80|51126|130|170|30|108|375|1300|1900
81|51226|130|190|45|188|575|900|1400
82|51326|130|225|75|358|1070|600|850
83|51426|130|270|110|630|2010|430|600
84|51128|140|180|31|110|402|1200|1800
85|51228|140|200|46|190|598|850|1300
86|51328|140|240|80|395|1230|560|800
87|51428|140|280|112|630|2010|400|560
88|51130|150|190|31|110|415|1100|1700
89|51230|150|215|50|242|768|800|1200
90|51330|150|250|80|405|1310|530|750
91|51430|150|300|120|670|2240|380|530
92|51132|160|200|31|110|428|1000|1600
93|51232|160|225|51|240|768|750|1100
94|51332|160|270|87|470|1570|500|700
95|51134|170|215|34|135|528|950|1500
96|51234|170|240|55|280|915|700|1000
97|51334|170|280|87|470|1580|480|670
98|51136|180|225|34|135|528|900|1400
99|51236|180|250|56|285|958|670|950
100|51336|180|300|95|518|1820|430|600
101|51138|190|240|37|172|678|850|1300
102|51238|190|270|62|328|1160|630|900
103|51338|190|320|105|608|2220|400|560
104|51140|200|250|37|172|698|800|1200
105|51240|200|280|62|332|1210|600|850
106|51340|200|340|110|600|2220|360|500
107|51144|220|270|37|188|782|720|1100
108|51244|220|300|63|365|1360|560|800
109|51148|240|300|45|258|1040|700|1000
110|51248|240|340|78|468|1870|450|630
111|51348|240|380|112|692|2870|320|450
112|51152|260|320|45|270|1140|670|950
113|51252|260|360|79|488|2050|430|600
114|51156|280|350|53|338|1430|560|800
115|51256|280|380|80|490|2140|400|560
116|51160|300|380|62|415|1860|500|700
117|51260|300|420|95|578|2670|360|560
118|51164|320|400|63|418|1920|480|670
119|51264|320|440|95|612|2920|340|480
120|51168|340|420|64|428|2050|450|630
121|51268|340|460|96|620|3040|320|450
122|51368|340|540|160|1120|5720|150|220
123|51172|360|440|65|432|2110|430|600
124|51272|360|500|110|775|3940|260|380
125|51176|380|460|65|440|2210|430|600
126|51276|380|520|112|788|4120|240|360
127|51180|400|480|65|452|2320|400|560
128|51280|400|540|112|802|4310|220|340
129|51184|420|500|65|462|2480|380|530
130|51188|440|540|80|527|3000|360|500
131|51288|440|600|130|808|4430|180|280
132|51192|460|560|80|578|3310|320|450
133|51292|460|620|130|892|5230|170|260
134|51196|480|580|80|592|3490|300|430
135|511/500|500|600|80|595|3570|280|400
136|512/500|500|670|135|1020|6200|150|220
137|511/530|530|640|85|708|4000|260|380
138|512/630|630|850|175|1320|9300|100|160
139|511/670|670|800|105|860|5020|160|240
140|511/750|750|900|90|768|5900|160|240
