ID|BCode|d|DD|T1|H|Ca|Coa|nlimy
1|29412|60|130|42|38|319|897|2400
2|29413|65|140|45|42|371|1048|2200
3|29414|70|150|48|44|416|1198|2000
4|29415|75|160|51|47|468|1367|1900
5|29416|80|170|54|50|532|1563|1800
6|29317|85|150|39|50|326|1037|2200
7|29417|85|180|58|54|582|1708|1700
8|29318|90|155|39|52|335|1089|2200
9|29418|90|190|60|56|642|1904|1600
10|29320|100|170|42|58|390|1284|2000
11|29420|100|210|67|62|778|2343|1400
12|29322|110|190|48|64|487|1625|1800
13|29422|110|230|73|69|923|2854|1300
14|29324|120|210|54|70|620|2066|1600
15|29424|120|250|78|74|1074|3308|1200
16|29326|130|225|58|76|663|2235|1500
17|29426|13|270|85|81|1249|3918|1100
18|29328|140|240|60|82|719|2539|1400
19|29428|140|280|85|86|1288|4133|1000
20|29330|150|250|60|87|781|2763|1300
21|29430|150|300|90|92|1452|4680|950
22|29332|160|270|67|92|927|3253|1200
23|29432|160|320|95|99|1589|5315|900
24|29334|170|280|67|96|940|3358|1100
25|29434|170|340|103|104|1878|6265|850
26|29336|180|300|73|103|1111|4056|1000
27|29436|180|360|109|110|2056|6867|750
28|29338|190|320|78|110|1301|4861|900
29|29438|190|380|115|117|2297|7774|700
30|29240|200|280|48|108|612|2518|1400
31|29340|200|340|85|116|1430|5181|900
32|29440|200|400|122|122|2483|8368|700
33|29244|220|300|48|117|634|2705|1300
34|29344|220|360|85|125|1524|5661|850
35|29444|220|420|122|132|2588|8990|670
36|29248|240|340|60|130|915|3951|1100
37|29348|240|380|85|135|1583|6014|800
38|29448|240|440|122|142|2725|9771|630
39|29252|260|360|60|139|944|4207|1000
40|29352|260|420|95|148|1940|7716|750
41|29452|260|480|132|154|3247|11930|600
42|29256|280|380|60|150|954|4348|950
43|29356|280|440|95|158|2023|8207|670
44|29456|280|520|145|166|3753|13794|530
45|29260|300|420|73|162|1340|6057|900
46|29360|300|480|109|168|2554|10396|630
47|29460|300|540|145|175|3895|14689|480
48|29264|320|440|73|172|1406|6556|800
49|29364|320|500|109|180|2578|10691|600
50|29464|320|580|155|191|4537|17432|450
51|29268|340|460|73|183|1432|6838|800
52|29368|340|540|122|192|3052|12554|530
53|29468|340|620|170|201|5002|18866|430
54|29272|360|500|85|194|1796|8412|700
55|29372|360|560|122|202|3124|13114|500
56|29472|360|640|170|210|5295|20562|400
57|29276|380|520|85|202|1886|9107|670
58|29376|380|600|132|216|3560|15005|450
59|29476|380|670|175|230|5799|23345|380
60|29280|400|540|85|212|1906|9359|670
61|29380|400|620|132|225|3690|15865|450
62|29480|400|710|185|236|6073|24293|360
63|29284|420|580|95|225|2356|11571|600
64|29384|420|650|140|235|3673|17692|430
65|29484|420|730|185|244|6344|25562|340
66|29288|440|600|95|235|2466|12439|560
67|29388|440|680|145|245|4434|19229|400
68|29488|440|780|206|260|7271|28835|320
69|29292|460|620|95|245|2474|12643|530
70|29392|460|710|150|257|4762|21051|360
71|29492|460|800|206|272|7793|31810|300
72|29296|480|650|103|259|2694|13555|500
73|29396|480|730|150|270|4967|22458|340
74|29496|480|850|224|280|8525|34066|280
75|292/500|500|670|103|268|2782|14281|480
76|293/500|500|750|150|280|5002|22895|340
77|294/500|500|870|224|290|8796|35832|260
78|292/530|530|710|109|288|3152|16392|430
79|293/530|530|800|160|295|5721|26124|320
80|294/530|530|920|236|309|10158|42513|240
81|292/560|560|750|115|302|3429|17939|430
82|293/560|560|850|175|310|6630|31664|300
83|294/560|560|980|250|328|11346|47887|220
84|292/600|600|800|122|321|3816|20181|400
85|293/600|600|900|180|335|7189|35016|280
86|294/600|600|1030|258|347|12144|52890|200
87|292/630|630|850|132|338|4582|24547|360
88|293/630|630|950|190|345|7762|36393|260
89|294/630|630|1090|280|365|13540|57622|180
90|292/670|670|900|140|364|5005|26906|340
91|293/670|670|1000|200|372|8737|43170|240
92|294/670|670|1150|290|387|14531|61781|170
93|292/710|710|950|145|380|5395|29444|300
94|293/710|710|1060|212|394|9542|45242|220
95|294/710|710|1220|308|415|16789|74880|160
96|292/750|750|1000|150|406|5787|31990|280
97|293/750|750|1120|224|415|10605|51639|200
98|294/750|750|1280|315|436|17827|79617|150
99|292/800|800|1060|155|426|6359|35963|260
100|293/800|800|1180|230|440|11380|55789|190
101|294/800|800|1360|335|462|19908|89611|140
102|292/850|850|1120|160|453|6887|39733|240
103|293/850|850|1250|243|468|12597|62092|180
104|294/850|850|1440|354|494|21435|96756|130
105|292/900|900|1180|170|477|7409|42526|220
106|293/900|900|1320|250|496|13494|67595|170
